id,created_at,updated_at,active,name,slug,category_id,order,group_category
2330,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Музыкальные инструменты,musical_instruments,10319,500,363
2383,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Муравьиные фермы,muravinie-fermi,17346,500,367
2319,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Настольные игры,nastoljnye-igry-i-golovolomki,9451,500,363
2370,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Новогодний декор,novogodniy-dekor,16389,500,366
2219,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Ноутбуки,notebooks,2423,500,355
2293,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Оборудование,equipment,8044,500,361
2279,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Оборудование,equipment,7078,500,360
2386,2022-05-28 04:58:50,2022-05-28 04:58:50,1,"Оборудование для аквариумов, террариумов",3429643,16996,500,367
2335,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Одежда для женщин,1162060,10522,500,364
2338,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Одежда для мужчин,1162070,11089,500,364
2357,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Окрашивание волос,okrashivanie,17759,500,365
2331,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Оптика,optics,10396,500,363
2228,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Оргтехника,office-equipment,2962,500,355
